,1,,2,,3,,4,,5,,6,,7,,8,,9,,10
Average Fitness,Best Fitness,Average Fitness,Best Fitness,Average Fitness,Best Fitness,Average Fitness,Best Fitness,Average Fitness,Best Fitness,Average Fitness,Best Fitness,Average Fitness,Best Fitness,Average Fitness,Best Fitness,Average Fitness,Best Fitness,Average Fitness,Best Fitness
0.874304,0.930351,0.864623,0.888232,0.869237,0.887279,0.923432,0.958299,0.86544,0.885918,0.932482,0.958299,0.931668,0.958299,0.873157,0.885918,0.870566,0.923707,0.857287,0.888232
0.862197,0.930351,0.868282,0.888232,0.871651,0.887279,0.926818,0.958299,0.865256,0.885918,0.929882,0.958299,0.920121,0.958299,0.872153,0.885918,0.864344,0.923707,0.856355,0.888232
0.867589,0.930351,0.867874,0.888232,0.873462,0.887279,0.922867,0.958299,0.866501,0.885918,0.927984,0.958299,0.92615,0.958299,0.869244,0.885918,0.869782,0.923707,0.860503,0.888232
0.863673,0.930351,0.87059,0.888232,0.868812,0.887279,0.927917,0.958299,0.864055,0.885918,0.929067,0.958299,0.929834,0.958299,0.868695,0.885918,0.864765,0.923707,0.856858,0.888232
0.865468,0.930351,0.868426,0.888232,0.866238,0.887279,0.927229,0.958299,0.865306,0.885918,0.927928,0.958299,0.925312,0.958299,0.874395,0.885918,0.86811,0.923707,0.853088,0.888232
0.86912,0.930351,0.874185,0.888232,0.869415,0.887279,0.931037,0.958299,0.869087,0.885918,0.924743,0.958299,0.922417,0.958299,0.872571,0.885918,0.869476,0.923707,0.857511,0.888232
0.866455,0.930351,0.877194,0.888232,0.866536,0.887279,0.929915,0.958299,0.865391,0.885918,0.926739,0.958299,0.930161,0.958299,0.867752,0.885918,0.867035,0.923707,0.862617,0.888232
0.859838,0.930351,0.870497,0.888232,0.872645,0.887279,0.92706,0.958299,0.867062,0.885918,0.92395,0.958299,0.938081,0.958299,0.870395,0.885918,0.868577,0.923707,0.856624,0.888232
0.869289,0.930351,0.872382,0.888232,0.872415,0.887279,0.930159,0.958299,0.865068,0.885918,0.925686,0.958299,0.938816,0.958299,0.866058,0.885918,0.869739,0.923707,0.86434,0.888232
0.869461,0.930351,0.878305,0.888232,0.861153,0.887279,0.927481,0.958299,0.862226,0.885918,0.926542,0.958299,0.938742,0.958299,0.871392,0.885918,0.870957,0.923707,0.859477,0.888232
0.865891,0.930351,0.873139,0.888232,0.868401,0.887279,0.933171,0.958299,0.863285,0.885918,0.929458,0.958299,0.938277,0.958299,0.864588,0.885918,0.86816,0.923707,0.854821,0.888232
0.865119,0.930351,0.869987,0.888232,0.866612,0.887279,0.94072,0.958299,0.865538,0.885918,0.933281,0.958299,0.936991,0.958299,0.858614,0.885918,0.869243,0.923707,0.855852,0.888232
0.863496,0.930351,0.873693,0.888232,0.864468,0.887279,0.934438,0.958299,0.867712,0.885918,0.934407,0.958299,0.932135,0.958299,0.869192,0.885918,0.870739,0.923707,0.864453,0.888232
0.866217,0.930351,0.86796,0.888232,0.867425,0.887279,0.935251,0.958299,0.867785,0.885918,0.930674,0.958299,0.936676,0.958299,0.869194,0.885918,0.873094,0.923707,0.857255,0.888232
0.870328,0.930351,0.869768,0.888232,0.867983,0.887279,0.936906,0.958299,0.865483,0.885918,0.933777,0.958299,0.93732,0.958299,0.868823,0.885918,0.869606,0.923707,0.851588,0.888232
0.870013,0.930351,0.869509,0.888232,0.866408,0.887279,0.930306,0.958299,0.866434,0.885918,0.937497,0.958299,0.935971,0.958299,0.871596,0.885918,0.873398,0.923707,0.85968,0.888232
0.86882,0.930351,0.872708,0.888232,0.866474,0.887279,0.932019,0.958299,0.865078,0.885918,0.932813,0.958299,0.93018,0.958299,0.870719,0.885918,0.869931,0.923707,0.859789,0.888232
0.876785,0.930351,0.861416,0.888232,0.863978,0.887279,0.937299,0.958299,0.871502,0.885918,0.925607,0.958299,0.92925,0.958299,0.873625,0.885918,0.866493,0.923707,0.855671,0.888232
0.876437,0.930351,0.864242,0.888232,0.865258,0.887279,0.939297,0.958299,0.872556,0.885918,0.921697,0.958299,0.930301,0.958299,0.869413,0.885918,0.869751,0.923707,0.858756,0.888232
